Cytogenetic map position,Genetic map position,Sequence coordinates (release 6),R6 conversion notes
87E,3-[53],3R:13164290..13484493,
87F,3-[54],3R:13484494..13843302,
88A,3-[54],3R:13843303..14226397,
88B,3-[55],3R:14226398..14415067,
88C,3-[55],3R:14415068..14675782,
88D,3-[56],3R:14675783..15054625,
88E,3-[56],3R:15054626..15316331,
88F,3-[57],3R:15316332..15623019,
89A,3-[58],3R:15623020..16027429,
89B,3-[58],3R:16027430..16576178,
89C,3-[59],3R:16576179..16576248,
89D,3-[59],3R:16576249..16736155,
89E,3-[59],3R:16736156..17123622,
89F,3-[60],3R:17123623..17256343,
90A,3-[60],3R:17256344..17436924,
90B,3-[61],3R:17436925..17663398,
90C,3-[61],3R:17663399..17916873,
90D,3-[61],3R:17916874..18004998,
90E,3-[62],3R:18004999..18118267,
90F,3-[62],3R:18118268..18268610,
91A,3-[63],3R:18268611..18446794,
91B,3-[64],3R:18446795..18672273,
91C,3-[64],3R:18672274..18793975,
91D,3-[65],3R:18793976..18945258,
91E,3-[65],3R:18945259..19070332,
91F,3-[66],3R:19070333..19261019,
92A,3-[66],3R:19261020..19695282,
92B,3-[67],3R:19695283..19971232,
92C,3-[67],3R:19971233..20096867,
92D,3-[68],3R:20096868..20259177,
92E,3-[68],3R:20259178..20525400,
92F,3-[69],3R:20525401..20794570,
93A,3-[69],3R:20794571..20983973,
93B,3-[70],3R:20983974..21124232,
93C,3-[71],3R:21124233..21232815,
93D,3-[71],3R:21232816..21400809,
93E,3-[72],3R:21400810..21645979,
93F,3-[73],3R:21645980..22019295,
94A,3-[74],3R:22019296..22474684,
94B,3-[75],3R:22474685..22666854,
94C,3-[76],3R:22666855..22827295,
94D,3-[77],3R:22827296..23114712,
94E,3-[78],3R:23114713..23363938,
94F,3-[79],3R:23363939..23509789,
95A,3-[80],3R:23509790..23714950,
95B,3-[80],3R:23714951..23812801,
95C,3-[81],3R:23812802..23940806,
95D,3-[82],3R:23940807..24063100,
95E,3-[83],3R:24063101..24189602,
95F,3-[84],3R:24189603..24380882,
96A,3-[85],3R:24380883..24840518,
96B,3-[86],3R:24840519..25101913,
96C,3-[87],3R:25101914..25292351,
96D,3-[87],3R:25292352..25439751,
96E,3-[88],3R:25439752..25712016,
96F,3-[89],3R:25712017..26106891,
97A,3-[90],3R:26106892..26362804,
97B,3-[91],3R:26362805..26558307,
97C,3-[91],3R:26558308..26733804,
97D,3-[92],3R:26733805..27054991,
97E,3-[92],3R:27054992..27264826,
97F,3-[93],3R:27264827..27434247,
98A,3-[94],3R:27434248..27670954,
98B,3-[94],3R:27670955..28082526,
98C,3-[95],3R:28082527..28383802,
98D,3-[96],3R:28383803..28644088,
98E,3-[97],3R:28644089..28855898,
99A,3-[98],3R:29184632..29468940,
99B,3-[99],3R:29468941..29775722,
99C,3-[99],3R:29775723..29957664,
99D,3-[100],3R:29957665..30152942,
99E,3-[100],3R:30152943..30323585,
99F,3-[100],3R:30323586..30597427,
100A,3-[101],3R:30597428..30928228,
100B,3-[102],3R:30928229..31275051,
100C,3-[102],3R:31275052..31613779,
100D,3-[102],3R:31613780..31917440,
100E,3-[103],,in area of non-identity
100F,3-[103],,in area of non-identity
101F,4-[0],4:49042..69508,inversion
102A,4-[0],4:69509..224898,inversion
102B,4-[0],4:224899..441648,inversion
102C,4-[0],4:441649..598468,inversion
102D,4-[0],4:598469..766734,inversion
102E,4-[0],4:766735..897802,inversion
102F,4-[0],,in area of non-identity
